# {"t_start": 1587399604.92581, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,5.036765
-39.0,50,7.702851
-28.0,50,10.013038
-39.0,50,12.369278
-39.0,50,14.735743
-50.0,50,17.089572
-50.0,50,19.446828
-50.0,50,21.842258
-50.0,50,24.229442
-50.0,50,26.575022
-50.0,50,28.956811
-39.0,50,31.381909
-39.0,50,33.802607
-39.0,50,36.21356
-50.0,50,38.634107
-50.0,50,41.070285
-28.0,50,43.453428
-50.0,50,45.754971
-39.0,50,48.261609
-39.0,50,50.824527
-50.0,50,53.527645
-50.0,50,53.795038
-39.0,50,54.050256
-50.0,50,54.293711
-50.0,50,54.55061
-28.0,50,54.813031
-39.0,50,55.080238
-50.0,50,55.345877
-39.0,50,55.614744
-28.0,50,55.879651
-50.0,50,56.457905
-28.0,50,59.099528
-39.0,50,61.718036
-39.0,50,64.366349
-50.0,50,66.991822
-39.0,50,69.614632
-28.0,50,72.275048
-28.0,50,74.973721
-28.0,50,77.85675
-28.0,50,81.108472
-28.0,50,84.122778
-39.0,50,87.046177
-50.0,50,90.006592
-50.0,50,93.033821
-39.0,50,95.874335
-50.0,50,98.69507
-28.0,50,101.545398
-28.0,50,104.757314
-28.0,50,108.277099
-50.0,50,111.381798
-28.0,50,114.461106
-28.0,50,114.765975
-28.0,50,115.07532
-39.0,50,115.43289
-50.0,50,115.789669
-39.0,50,116.085945
-28.0,50,116.365123
-28.0,50,116.675522
-50.0,50,116.937523
-39.0,50,117.245129
-39.0,50,117.548844
-39.0,50,120.731592
-28.0,50,123.85857
-39.0,50,127.121066
-39.0,50,130.202636
-28.0,50,133.376437
-39.0,50,136.690828
-28.0,50,140.370022
-39.0,50,143.532239
-28.0,50,146.708827
-50.0,50,149.563008
-28.0,50,152.328357
-28.0,50,155.497303
-28.0,50,158.555836
-28.0,50,161.809613
-28.0,50,164.984004
-39.0,50,168.22524
-28.0,50,171.286331
-50.0,50,174.573775
-39.0,50,177.900068
-28.0,50,181.514147
-39.0,50,181.773451
-39.0,50,182.063277
-28.0,50,182.320998
-28.0,50,182.617364
-39.0,50,182.885122
-28.0,50,183.147055
-20.0,50,183.436871
-50.0,50,183.735291
-28.0,50,184.042597
-39.0,50,184.370563
-39.0,50,187.59489
-28.0,50,190.789196
-39.0,50,194.186098
-39.0,50,197.530512
-28.0,50,201.190396
-11.0,50,204.570834
-28.0,50,208.318894
-39.0,50,211.652456
-28.0,50,214.849633
-39.0,50,218.596818
-28.0,50,222.004839
-5.0,50,225.235824
-28.0,50,228.434985
-24.0,50,231.672769
-39.0,50,235.429472
-28.0,50,238.851745
-39.0,50,242.12672
-50.0,50,245.448043
-28.0,50,248.743973
-28.0,50,252.06015
4.0,50,252.336273
-39.0,50,252.666304
-28.0,50,252.939018
4.0,50,253.212077
9.0,50,253.493495
-39.0,50,253.79711
-21.0,50,254.061244
-39.0,50,254.306392
-28.0,50,254.57372
-28.0,50,254.834417
-28.0,50,258.047649
-28.0,50,261.42294
-28.0,50,265.021243
-28.0,50,268.890594
-39.0,50,272.289698
-28.0,50,275.838379
-28.0,50,279.552183
-28.0,50,283.038218
-39.0,50,286.775407
-26.0,50,290.484148
-28.0,50,294.254142
-28.0,50,297.837376
-28.0,50,301.66201
-39.0,50,305.176316
-28.0,50,309.134136
-22.0,50,312.824364
-39.0,50,316.50456
-28.0,50,320.02601
-28.0,50,323.817203
12.0,50,327.62522
-2.0,50,327.889249
7.0,50,328.148477
-39.0,50,328.419807
-39.0,50,328.701854
9.0,50,328.971016
-39.0,50,329.249613
7.0,50,329.521824
-28.0,50,329.774398
10.0,50,330.048714
-10.0,50,330.306697
-39.0,50,334.025128
-39.0,50,337.707429
-39.0,50,341.329293
-28.0,50,345.211649
-18.0,50,348.90453
-28.0,50,352.614754
-39.0,50,356.488086
-28.0,50,360.258186
-39.0,50,364.353739
-26.0,50,368.488546
-28.0,50,372.269458
-39.0,50,376.376553
-39.0,50,380.30408
-39.0,50,384.157329
-19.0,50,387.95345
-28.0,50,391.874657
-39.0,50,395.622784
-28.0,50,399.411849
-39.0,50,403.181615
-28.0,50,407.0117
8.0,50,407.276917
-28.0,50,407.551318
-28.0,50,407.826603
5.0,50,408.086344
9.0,50,408.341912
9.0,50,408.615748
11.0,50,408.872235
-28.0,50,409.126106
7.0,50,409.379866
-28.0,50,409.62704
-39.0,50,413.601726
16.0,50,417.542763
-28.0,50,422.098776
12.0,50,426.036506
-28.0,50,430.091374
-28.0,50,434.20703
-28.0,50,438.627401
-28.0,50,442.737383
10.0,50,447.437706
-28.0,50,451.371956
-39.0,50,455.386134
-39.0,50,459.332773
-28.0,50,463.263657
-28.0,50,467.304518
12.0,50,471.287028
-28.0,50,475.416601
-28.0,50,479.890831
-9.0,50,483.916823
-28.0,50,488.188474
12.0,50,492.638806
13.0,50,492.886218
-28.0,50,493.126814
6.0,50,493.386672
7.0,50,493.628322
12.0,50,493.889013
-1.0,50,494.145752
-39.0,50,494.398908
12.0,50,494.652442
1.0,50,494.951903
-28.0,50,495.191996
-39.0,50,499.859315
-18.0,50,503.840028
-4.0,50,507.735573
-28.0,50,511.621683
-28.0,50,515.908834
-39.0,50,522.712276
-28.0,50,527.01985
-28.0,50,531.14538
-39.0,50,535.347625
-28.0,50,539.580532
-28.0,50,543.858496
-28.0,50,548.201653
-28.0,50,552.643306
-39.0,50,557.013803
-28.0,50,561.428502
-28.0,50,566.005982
-39.0,50,570.251497
-39.0,50,574.626853
-39.0,50,579.087343
10.0,50,583.752265
12.0,50,584.036606
9.0,50,584.297295
-28.0,50,584.582478
5.0,50,584.837901
9.0,50,585.121852
-28.0,50,585.426999
13.0,50,585.754565
10.0,50,586.03672
14.0,50,586.303219
-39.0,50,586.540685
-39.0,50,591.026098
-39.0,50,595.490521
-28.0,50,600.02324
-28.0,50,604.512144
-23.0,50,609.1224
-28.0,50,613.662467
9.0,50,618.311
-28.0,50,623.020734
-28.0,50,627.623859
-28.0,50,632.212244
-28.0,50,636.816844
-28.0,50,641.204184
-28.0,50,645.952172
-39.0,50,650.740725
-28.0,50,655.219392
-28.0,50,659.669534
-28.0,50,664.207122
-39.0,50,668.723951
-39.0,50,673.305566
-28.0,50,677.777129
-25.0,50,678.035638
-39.0,50,678.301907
-28.0,50,678.573617
8.0,50,678.83313
6.0,50,679.090003
3.0,50,679.34436
-39.0,50,679.608773
7.0,50,679.877877
9.0,50,680.150013
-39.0,50,680.405851
-28.0,50,685.197804
-39.0,50,689.751546
-28.0,50,694.328838
9.0,50,698.909219
-28.0,50,703.516686
-28.0,50,708.197819
-28.0,50,712.886883
-39.0,50,717.641082
7.0,50,722.375163
-28.0,50,727.227741
9.0,50,732.082919
-39.0,50,736.972683
-20.0,50,741.989044
-28.0,50,746.935224
-39.0,50,752.110793
-28.0,50,757.991091
-28.0,50,763.344421
-28.0,50,768.705028
-22.0,50,774.178319
